# Tx_arcsec,Ty_arcsec
5.047505884486005243e+02,-1.988135270672741228e+02
5.043143349307142103e+02,-1.988442194118527766e+02
5.038756559961259427e+02,-1.988748799819145177e+02
5.034353049395824655e+02,-1.989065010700504388e+02
5.029940607440103690e+02,-1.989400332776611720e+02
5.025527132154235801e+02,-1.989763705308237718e+02
5.021120468481947796e+02,-1.990163475540269928e+02
5.016728395647996877e+02,-1.990607064938233179e+02
5.012358338881511486e+02,-1.991101215327850866e+02
5.008017434134596328e+02,-1.991651679899453029e+02
5.003712204194750939e+02,-1.992263413976294828e+02
4.999448680954767497e+02,-1.992940371999569322e+02
4.995232204210633427e+02,-1.993685606435298610e+02
4.991067353380983604e+02,-1.994501401032358672e+02
4.986958056009989377e+02,-1.995389143828776071e+02
4.982907416948592072e+02,-1.996349611477473047e+02
4.978917891741442645e+02,-1.997382884645909655e+02
4.974991230974979999e+02,-1.998488564133783996e+02
4.971128534831232173e+02,-1.999665845965689641e+02
4.967330445909711898e+02,-2.000913459525777967e+02
4.963596986063951704e+02,-2.002230076628441111e+02
4.959927917165789495e+02,-2.003614073762353769e+02
4.956322616977934103e+02,-2.005063835616365111e+02
4.952780241778911545e+02,-2.006577740636655847e+02
4.949299847297151018e+02,-2.008154155287596723e+02
4.945880297911043613e+02,-2.009791587028123843e+02
4.942520504531705114e+02,-2.011488629817984020e+02
4.939219351789570283e+02,-2.013244052748553088e+02
4.935975726614469750e+02,-2.015056720631041571e+02
4.932788602916792797e+02,-2.016925619590416545e+02
4.929657032991923984e+02,-2.018849850562963866e+02
4.926580104885351830e+02,-2.020828636655346600e+02
4.923556951055068112e+02,-2.022861250459105520e+02
4.920586776827083781e+02,-2.024947021129127620e+02
4.917668873081100287e+02,-2.027085309234825843e+02
4.914802501028859751e+02,-2.029275450690952312e+02
4.911986924994872084e+02,-2.031516805600631699e+02
4.909221515122824258e+02,-2.033808746445017448e+02
4.906505642987887086e+02,-2.036150621301468675e+02
4.903838687761902975e+02,-2.038541771615885807e+02
4.901220084190508146e+02,-2.040981554257033679e+02
4.898649322912678485e+02,-2.043469365148491477e+02
4.896126015395167315e+02,-2.046004661632390480e+02
4.893649919535923800e+02,-2.048587000101200033e+02
4.891220968726233309e+02,-2.051216077940465539e+02
4.888839306804102876e+02,-2.053891687254815110e+02
4.886505362507569430e+02,-2.056613916635132000e+02
4.884219879306331222e+02,-2.059383063843755224e+02
4.881983936399153094e+02,-2.062199678024601042e+02
4.879799021136591932e+02,-2.065064580673694081e+02
4.877667040859695931e+02,-2.067978868886078487e+02
4.875590345291863059e+02,-2.070943916861244247e+02
